"m3","y30","y1","m6","y2","y10","y3","time","y5","y7","spread"
"7.8981","8.2586","7.9210","7.9562","8.0852","8.2067","8.1324","1990-01-30 19:00:00.000 -0500","8.1195","8.1962","0.3086"
"8.0021","8.5037","8.1111","8.1211","8.3705","8.4732","8.3868","1990-02-27 19:00:00.000 -0500","8.4247","8.4758","0.4711"
"8.1700","8.5632","8.3500","8.2800","8.6268","8.5886","8.6273","1990-03-30 19:00:00.000 -0500","8.6005","8.6482","0.4186"
"8.0405","8.7560","8.4045","8.2700","8.7240","8.7855","8.7825","1990-04-29 20:00:00.000 -0400","8.7680","8.8130","0.7450"
"8.0068","8.7314","8.3164","8.1909","8.6423","8.7582","8.6923","1990-05-30 20:00:00.000 -0400","8.7359","8.7836","0.7514"
"7.9867","8.4576","8.0962","8.0452","8.3510","8.4800","8.3981","1990-06-29 20:00:00.000 -0400","8.4305","8.5176","0.4933"
"7.8748","8.4981","7.9410","7.9233","8.1571","8.4714","8.2648","1990-07-30 20:00:00.000 -0400","8.3310","8.4552","0.5967"
"7.6943","8.8635","7.7791","7.7661","8.0613","8.7526","8.2187","1990-08-30 20:00:00.000 -0400","8.4365","8.6439","1.0583"
"7.5979","9.0289","7.7632","7.6984","8.0795","8.8932","8.2674","1990-09-29 20:00:00.000 -0400","8.5137","8.7868","1.2953"
"7.4000","8.8577","7.5514","7.5295","7.8777","8.7195","8.0686","1990-10-30 19:00:00.000 -0500","8.3277","8.5936","1.3195"
"7.2905","8.5405","7.3135","7.3850","7.5995","8.3920","7.7370","1990-11-29 19:00:00.000 -0500","8.0225","8.2765","1.1015"
"6.9495","8.2370","7.0505","7.0265","7.3140","8.0750","7.4660","1990-12-30 19:00:00.000 -0500","7.7265","8.0005","1.1255"
"6.4105","8.2695","6.6443","6.5757","7.1252","8.0919","7.3776","1991-01-30 19:00:00.000 -0500","7.7000","7.9705","1.6814"
"6.1163","8.0342","6.2668","6.1947","6.8668","7.8547","7.0774","1991-02-27 19:00:00.000 -0500","7.4726","7.7326","1.7384"
"6.0935","8.2880","6.3960","6.1985","7.1030","8.1100","7.3535","1991-03-30 19:00:00.000 -0500","7.7720","8.0025","2.0165"
"5.8255","8.2095","6.2359","5.9768","6.9482","8.0391","7.2318","1991-04-29 20:00:00.000 -0400","7.7009","7.9227","2.2136"
"5.6336","8.2673","6.1305","5.8732","6.7836","8.0677","7.1168","1991-05-30 20:00:00.000 -0400","7.7014","7.9423","2.4341"
"5.7510","8.4720","6.3585","6.0240","6.9560","8.2840","7.3915","1991-06-29 20:00:00.000 -0400","7.9370","8.1710","2.5330"
"5.7509","8.4523","6.3055","5.9745","6.9177","8.2727","7.3759","1991-07-30 20:00:00.000 -0400","7.9114","8.1468","2.5218"
"5.4977","8.1436","5.7782","5.6336","6.4332","7.9000","6.7973","1991-08-30 20:00:00.000 -0400","7.4250","7.7400","2.4023"
"5.3735","7.9480","5.5725","5.4790","6.1815","7.6500","6.5000","1991-09-29 20:00:00.000 -0400","7.1360","7.4765","2.2765"
"5.1441","7.9305","5.3336","5.2591","5.9123","7.5273","6.2291","1991-10-30 19:00:00.000 -0500","6.8714","7.2464","2.3832"
"4.6895","7.9216","4.8895","4.8011","5.5589","7.4174","5.9037","1991-11-29 19:00:00.000 -0500","6.6179","7.0589","2.7279"
"4.1843","7.7019","4.3781","4.2614","5.0257","7.0886","5.3929","1991-12-30 19:00:00.000 -0500","6.1862","6.6852","2.9043"
"3.9062","7.5819","4.1510","4.0100","4.9581","7.0324","5.3957","1992-01-30 19:00:00.000 -0500","6.2429","6.7048","3.1262"
"3.9500","7.8547","4.2874","4.0763","5.2121","7.3379","5.7200","1992-02-28 19:00:00.000 -0500","6.5779","6.9621","3.3879"
"4.1386","7.9695","4.6345","4.3309","5.6850","7.5423","6.1832","1992-03-30 19:00:00.000 -0500","6.9455","7.2573","3.4036"
"3.8390","7.9624","4.2990","4.0029","5.3443","7.4805","5.9252","1992-04-29 20:00:00.000 -0400","6.7843","7.1529","3.6414"
"3.7190","7.8910","4.1895","3.8815","5.2255","7.3920","5.8135","1992-05-30 20:00:00.000 -0400","6.6925","7.0615","3.6730"
"3.7450","7.8418","4.1659","3.8950","5.0482","7.2618","5.5973","1992-06-29 20:00:00.000 -0400","6.4827","6.9045","3.5168"
"3.2795","7.5982","3.5959","3.3832","4.3555","6.8445","4.9064","1992-07-30 20:00:00.000 -0400","5.8368","6.3573","3.5650"
"3.1990","7.3905","3.4719","3.3110","4.1929","6.5857","4.7248","1992-08-30 20:00:00.000 -0400","5.5962","6.1219","3.3867"
"2.9686","7.3410","3.1843","3.0419","3.8943","6.4152","4.4152","1992-09-29 20:00:00.000 -0400","5.3800","5.9610","3.4467"
"2.9329","7.5319","3.3024","3.1276","4.0829","6.5890","4.6381","1992-10-30 19:00:00.000 -0500","5.6005","6.1548","3.6562"
"3.2058","7.6068","3.6821","3.4395","4.5795","6.8732","5.1405","1992-11-29 19:00:00.000 -0500","6.0379","6.4900","3.6674"
"3.2914","7.4364","3.7114","3.4686","4.6736","6.7700","5.2136","1992-12-30 19:00:00.000 -0500","6.0759","6.4568","3.4786"
"3.0711","7.3416","3.4963","3.2379","4.3900","6.6000","4.9326","1993-01-30 19:00:00.000 -0500","5.8337","6.2600","3.5289"
"2.9926","7.0895","3.3858","3.1605","4.0984","6.2589","4.5789","1993-02-27 19:00:00.000 -0500","5.4289","5.8689","3.2663"
"3.0143","6.8217","3.3330","3.1457","3.9496","5.9752","4.4013","1993-03-30 19:00:00.000 -0500","5.1948","5.6557","2.9609"
"2.9305","6.8543","3.2443","3.0629","3.8376","5.9695","4.3024","1993-04-29 20:00:00.000 -0400","5.1329","5.5938","3.0390"
"3.0250","6.9190","3.3635","3.1655","3.9770","6.0355","4.4045","1993-05-30 20:00:00.000 -0400","5.1980","5.6590","3.0105"
"3.1445","6.8073","3.5364","3.2945","4.1636","5.9627","4.5309","1993-06-29 20:00:00.000 -0400","5.2168","5.6118","2.8182"
"3.1110","6.6257","3.4748","3.2576","4.0719","5.8052","4.4295","1993-07-30 20:00:00.000 -0400","5.0910","5.4762","2.6943"
"3.0905","6.3232","3.4436","3.2355","4.0014","5.6777","4.3636","1993-08-30 20:00:00.000 -0400","5.0250","5.3532","2.5873"
"3.0086","5.9971","3.3562","3.1510","3.8471","5.3600","4.1652","1993-09-29 20:00:00.000 -0400","4.7348","5.0762","2.3514"
"3.0920","5.9390","3.3920","3.2190","3.8745","5.3340","4.1750","1993-10-30 20:00:00.000 -0400","4.7070","5.0540","2.2420"
"3.1795","6.2100","3.5790","3.3615","4.1555","5.7240","4.4980","1993-11-29 19:00:00.000 -0500","5.0630","5.4470","2.5445"
"3.1277","6.2518","3.6073","3.3355","4.2123","5.7741","4.5400","1993-12-30 19:00:00.000 -0500","5.1468","5.4841","2.6464"
"3.0445","6.2910","3.5425","3.2530","4.1400","5.7505","4.4790","1994-01-30 19:00:00.000 -0500","5.0870","5.4310","2.7060"
"3.3305","6.4905","3.8658","3.5347","4.4742","5.9732","4.8321","1994-02-27 19:00:00.000 -0500","5.3953","5.7195","2.6426"
"3.5909","6.9065","4.3191","3.9148","4.9952","6.4826","5.3957","1994-03-30 19:00:00.000 -0500","5.9413","6.2800","2.8917"
"3.7805","7.2689","4.8158","4.2474","5.5495","6.9721","5.9942","1994-04-29 20:00:00.000 -0400","6.5242","6.8042","3.1916"
"4.2676","7.4124","5.3143","4.7857","5.9681","7.1833","6.3362","1994-05-30 20:00:00.000 -0400","6.7800","7.0062","2.9157"
"4.2491","7.3950","5.2673","4.7195","5.9314","7.1014","6.2682","1994-06-29 20:00:00.000 -0400","6.6955","6.9068","2.8523"
"4.4565","7.5790","5.4765","4.9535","6.1300","7.2980","6.4760","1994-07-30 20:00:00.000 -0400","6.9095","7.1245","2.8415"
"4.6117","7.4861","5.5622","5.0817","6.1774","7.2361","6.4957","1994-08-30 20:00:00.000 -0400","6.8778","7.0622","2.6243"
"4.7514","7.7124","5.7629","5.2400","6.3924","7.4571","6.6929","1994-09-29 20:00:00.000 -0400","7.0833","7.2833","2.7057"
"5.1020","7.9350","6.1145","5.6210","6.7285","7.7440","7.0415","1994-10-30 19:00:00.000 -0500","7.4030","7.5815","2.6420"
"5.4490","8.0815","6.5400","5.9750","7.1485","7.9550","7.4400","1994-11-29 19:00:00.000 -0500","7.7175","7.8300","2.5060"
"5.7648","7.8714","7.1362","6.5048","7.5895","7.8138","7.7095","1994-12-30 19:00:00.000 -0500","7.7762","7.8014","2.0490"
"5.9015","7.8465","7.0505","6.5060","7.5070","7.7795","7.6625","1995-01-30 19:00:00.000 -0500","7.7560","7.7915","1.8780"
"5.9395","7.6116","6.6968","6.3084","7.1116","7.4695","7.2474","1995-02-27 19:00:00.000 -0500","7.3658","7.4405","1.5300"
